function_name,file_path,line_number,context,type
_,./config/desktop.py,10,"			""label"": _(""Fleet Management"")",missing
_,./config/desktop.py,17,"			""label"": _(""Accommodation Management"")",missing
_,./permissions/role_permissions.py,316,"            frappe.throw(_(f""You don't have permission to modify field: {field}""))",missing
_,./permissions/role_permissions.py,326,"            frappe.throw(_(""You don't have permission to approve this document""))",missing
_,./permissions/role_permissions.py,329,"            frappe.throw(_(f""Amount exceeds your approval limit of {approval_info['approval_limit']}""))",missing
_,./permissions/role_permissions.py,342,            frappe.throw(_(message)),missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,25,"        frappe.throw(_(""From Date and To Date are required""))",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,28,"        frappe.throw(_(""From Date cannot be greater than To Date""))",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,34,"            ""label"": _(""Vehicle""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,41,"            ""label"": _(""Model""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,47,"            ""label"": _(""Current Driver""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,54,"            ""label"": _(""Total Shifts""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,60,"            ""label"": _(""Active Days""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,66,"            ""label"": _(""Idle Days""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,72,"            ""label"": _(""Distance (KM)""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,79,"            ""label"": _(""Total Hours""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,86,"            ""label"": _(""Utilization %""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,92,"            ""label"": _(""Avg KM/Day""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,99,"            ""label"": _(""KM/Liter""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,106,"            ""label"": _(""Status""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,316,"                    ""name"": _(""Utilization Rate %""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,353,"            ""label"": _(""Total Vehicles""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,358,"            ""label"": _(""Total Shifts""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,363,"            ""label"": _(""Total Distance (KM)""),",missing
_,./report/vehicle_utilization_report/vehicle_utilization_report.py,368,"            ""label"": _(""Average Utilization""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,25,"            ""label"": _(""Vehicle""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,32,"            ""label"": _(""Model""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,38,"            ""label"": _(""Driver""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,45,"            ""label"": _(""Fuel Cost""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,51,"            ""label"": _(""Maintenance Cost""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,57,"            ""label"": _(""Insurance Cost""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,63,"            ""label"": _(""Driver Salary""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,69,"            ""label"": _(""Depreciation""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,75,"            ""label"": _(""Other Costs""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,81,"            ""label"": _(""Total Cost""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,87,"            ""label"": _(""Distance (KM)""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,94,"            ""label"": _(""Cost per KM""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,327,"                    ""name"": _(""Fuel Cost""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,331,"                    ""name"": _(""Maintenance Cost""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,335,"                    ""name"": _(""Insurance Cost""),",missing
_,./report/monthly_fleet_cost_report/monthly_fleet_cost_report.py,339,"                    ""name"": _(""Driver Salary""),",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,21,"                frappe.throw(_(""End Date must be after Start Date""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,26,"                frappe.throw(_(""Lease End Date must be after Lease Start Date""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,30,"                frappe.throw(_(""Lease Start Date cannot be before Ownership Start Date""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,33,"                frappe.throw(_(""Lease End Date cannot be after Ownership End Date""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,54,"                frappe.throw(_(""Another active ownership record exists for this vehicle during the specified period""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,60,"                frappe.throw(_(""Supplier is required for leased/rented vehicles""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,63,"                frappe.throw(_(""Monthly lease amount is required for leased/rented vehicles""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,66,"                frappe.throw(_(""Lease start date is required for leased/rented vehicles""))",missing
_,./logistay/fleet_management/doctype/vehicle_ownership/vehicle_ownership.py,71,"                frappe.throw(_(""Purchase price is required for company owned vehicles""))",missing
_,./logistay/fleet_management/doctype/fleet_shift/fleet_shift.py,27,"            frappe.throw(_(""Vehicle {0} is already scheduled for {1} shift on {2}"").format(",missing
_,./logistay/fleet_management/doctype/fleet_shift/fleet_shift.py,45,"            frappe.throw(_(""Driver {0} is already scheduled for {1} shift on {2}"").format(",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,22,"                frappe.throw(_(""Start Date cannot be after End Date""))",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,26,"                frappe.throw(_(""Start Date cannot be in the past""))",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,64,"                frappe.throw(_(""Driver {0} is already assigned to Vehicle {1} as {2} from {3} to {4}"").format(",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,91,"                frappe.throw(_(""Vehicle {0} already has a Primary driver ({1}) assigned from {2} to {3}"").format(",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,107,"            frappe.throw(_(""Driver {0} does not have a valid license on file"").format(self.driver))",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,112,"                frappe.throw(_(""Driver {0}'s license has expired on {1}"").format(",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,129,"                    frappe.throw(_(""Driver {0} with {1} license cannot be assigned to {2} vehicle"").format(",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,148,"            ""subject"": _(""Driver Vehicle Assignment Updated""),",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,149,"            ""content"": _(""Driver {0} assignment to Vehicle {1} updated as {2}"").format(",missing
_,./logistay/fleet_management/doctype/driver_vehicle_assignment/driver_vehicle_assignment.py,167,"                    ""label"": _(""Fleet Operations""),",missing
_,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,35,"                    frappe.throw(_(""Odometer reading cannot be less than the previous reading of {0} KM"").format(latest_reading))",missing
_,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,47,"            frappe.throw(_(""Fuel quantity must be greater than 0""))",missing
_,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,50,"            frappe.throw(_(""Price per liter must be greater than 0""))",missing
_,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,54,"            frappe.throw(_(""Fuel quantity seems unusually high. Please verify.""))",missing
_,./logistay/fleet_management/doctype/fuel_entry/fuel_entry.py,172,"                frappe.throw(_(""Receipt number {0} already exists for this fuel station"").format(self.receipt_number))",missing
_,./logistay/fleet_management/doctype/supplier_master/supplier_master.py,28,"                frappe.throw(_(""Supplier Code {0} already exists"").format(self.supplier_code))",missing
_,./logistay/fleet_management/doctype/supplier_master/supplier_master.py,33,"            frappe.throw(_(""Contact Person is required""))",missing
_,./logistay/fleet_management/doctype/supplier_master/supplier_master.py,36,"            frappe.throw(_(""Phone Number is required""))",missing
_,./logistay/fleet_management/doctype/supplier_master/supplier_master.py,43,"                frappe.throw(_(""Please enter a valid email address""))",missing
_,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,22,"                frappe.throw(_(""End Date must be after Start Date""))",missing
_,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,42,"                frappe.throw(_(""Overlapping contract exists for this supplier and contract type""))",missing
_,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,47,"            frappe.throw(_(""Base Rate must be greater than 0""))",missing
_,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,51,"            frappe.throw(_(""Overtime Rate should not be less than Base Rate""))",missing
_,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,54,"            frappe.throw(_(""Holiday Rate should not be less than Base Rate""))",missing
_,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,57,"            frappe.throw(_(""Night Shift Rate should not be less than Base Rate""))",missing
_,./logistay/fleet_management/doctype/supplier_contract/supplier_contract.py,65,"                frappe.throw(_(""Please enter a valid contact email address""))",missing
_,./logistay/api/driver.py,24,"            frappe.throw(_(""No employee record found for current user""))",missing
_,./logistay/api/driver.py,29,"            frappe.throw(_(""No driver record found for current employee""))",missing
_,./logistay/api/driver.py,99,"        frappe.throw(_(""Failed to load dashboard data""))",missing
_,./logistay/api/driver.py,115,"            frappe.throw(_(""No employee record found""))",missing
